domain	taxonomy_group	checku_bin	n_samples	median_residual_pct	mean_residual_pct
Bacteria	all_taxa	[95,100)	3056	-9.01	-11.30
Bacteria	all_taxa	[95,100]	448	-10.91	-12.62
all_domains	all_taxa	[0,5)	656	10.05	12.85
all_domains	all_taxa	[10,15)	2244	21.21	21.03
all_domains	all_taxa	[15,20)	3663	22.99	22.38
all_domains	all_taxa	[20,25)	3098	23.70	22.74
all_domains	all_taxa	[25,30)	5314	21.71	21.85
all_domains	all_taxa	[30,35)	5638	19.52	20.57
all_domains	all_taxa	[35,40)	5489	18.68	18.81
all_domains	all_taxa	[40,45)	4911	16.01	16.18
all_domains	all_taxa	[45,50)	2984	12.44	12.30
all_domains	all_taxa	[5,10)	1401	15.76	16.95
all_domains	all_taxa	[50,55)	4514	6.54	6.76
all_domains	all_taxa	[55,60)	4807	-1.33	-0.69
all_domains	all_taxa	[60,65)	5836	-7.22	-6.05
all_domains	all_taxa	[65,70)	7147	-11.31	-10.49
all_domains	all_taxa	[70,75)	5487	-13.43	-12.60
all_domains	all_taxa	[75,80)	9045	-14.66	-13.57
all_domains	all_taxa	[80,85)	9337	-13.59	-13.78
all_domains	all_taxa	[85,90)	8797	-11.48	-13.00
all_domains	all_taxa	[90,95)	7392	-11.19	-11.61
all_domains	all_taxa	[95,100)	3056	-9.01	-11.30
all_domains	all_taxa	[95,100]	448	-10.91	-12.62
all_domains	all_taxa	all_checku	101264	-2.73	0.39
